Type,Model,Mask,MAE,MSE,,
Baseline,Weekly Persistent,5,0.1366,0.1275,,
Baseline,Weekly Persistent,10,0.2041,0.2287,,
Baseline,Weekly Persistent,15,0.271,0.3278,,
Baseline,Weekly Persistent,20,0.3355,0.4242,,
ML/DL,1D CNN,5,0.1641,0.0472,,
ML/DL,1D CNN,10,0.1623,0.0464,,
ML/DL,1D CNN,15,0.1596,0.0454,,
ML/DL,1D CNN,20,0.1567,0.0442,,
ML/DL,2D CNN,5,0.2347,0.0773,,
ML/DL,2D CNN,10,0.247,0.0851,,
ML/DL,2D CNN,15,0.2596,0.0915,,
ML/DL,2D CNN,20,0.2714,0.0973,,
Zero-shot,Moment-ZS,5,0.0427,0.0047,,
Zero-shot,Moment-ZS,10,0.0451,0.0055,,
Zero-shot,Moment-ZS,15,0.0468,0.0058,,
Zero-shot,Moment-ZS,20,0.0484,0.0062,,
Fine-tuned,Moment-FT,5,0.0435,0.0052,,
Fine-tuned,Moment-FT,10,0.0456,0.0056,,
Fine-tuned,Moment-FT,15,0.0469,0.0058,,
Fine-tuned,Moment-FT,20,0.0491,0.0064,,
Zero-shot,UniTS ZS,5,0.0351,0.1316,,
Zero-shot,UniTS ZS,10,0.0357,0.1326,,
Zero-shot,UniTS ZS,15,0.0357,0.1331,,
Zero-shot,UniTS ZS,20,0.056,0.1736,,
Fine-tuned,UniTS FT,5,0.0467,0.006,,
Fine-tuned,UniTS FT,10,0.0467,0.006,,
Fine-tuned,UniTS FT,15,0.0467,0.006,,
Fine-tuned,UniTS FT,20,0.0589,0.0086,,
Zero-shot,TSPulse ZS,5,0.0264,0.0019,,
Zero-shot,TSPulse ZS,10,0.0268,0.0023,,
Zero-shot,TSPulse ZS,15,0.0272,0.0021,,
Zero-shot,TSPulse ZS,20,0.0277,0.0022,,
Fine-tuned,TSPulse FT,5,0.0422,0.0058,,
Fine-tuned,TSPulse FT,10,0.0459,0.0062,,
Fine-tuned,TSPulse FT,15,0.0543,0.0085,,
Fine-tuned,TSPulse FT,20,0.0517,0.0072,,
